2025-08-10 14:36:02 | ERROR | utils.config.parser:load_config:26 | 配置文件不存在: E:\code_project\cc_p\auto_case\utils\config\config.yaml
2025-08-10 18:08:41 | ERROR | utils.core.exception_framework:wrapper:248 | 执行 simulate_database_query 时发生异常: 数据库连接超时
2025-08-10 18:12:52 | ERROR | utils.core.test_framework_app:execute_pytest_tests:235 | 测试执行失败，退出码: 2
2025-08-10 18:12:52 | ERROR | utils.core.test_framework_app:run:534 | ============================================================
2025-08-10 18:12:52 | ERROR | utils.core.test_framework_app:run:535 | 测试执行完成 - 失败
2025-08-10 18:12:52 | ERROR | utils.core.test_framework_app:run:536 | ============================================================
2025-08-10 18:16:03 | ERROR | utils.core.test_framework_app:execute_pytest_tests:235 | 测试执行失败，退出码: 2
2025-08-10 18:16:03 | ERROR | utils.core.test_framework_app:run:534 | ============================================================
2025-08-10 18:16:03 | ERROR | utils.core.test_framework_app:run:535 | 测试执行完成 - 失败
2025-08-10 18:16:03 | ERROR | utils.core.test_framework_app:run:536 | ============================================================
2025-08-10 18:19:38 | ERROR | utils.core.test_framework_app:execute_pytest_tests:235 | 测试执行失败，退出码: 3
2025-08-10 18:19:38 | ERROR | utils.core.test_framework_app:run:534 | ============================================================
2025-08-10 18:19:38 | ERROR | utils.core.test_framework_app:run:535 | 测试执行完成 - 失败
2025-08-10 18:19:38 | ERROR | utils.core.test_framework_app:run:536 | ============================================================
2025-08-10 18:29:05 | ERROR | utils.core.test_framework_app:validate_args:150 | 不支持的Excel文件格式: .yaml
2025-08-10 18:30:08 | ERROR | utils.core.test_framework_app:execute_excel_tests:349 | 执行Excel测试失败: TestSuite.__init__() missing 1 required positional argument: 'title'
2025-08-10 18:30:08 | ERROR | utils.core.exception_framework:wrapper:248 | 文件读取失败: [AutoTestException](FILE_002): 文件读取失败 | 详情: {'excel_path': 'data/examples/excel/mixed_test_cases.xlsx', 'error': "TestSuite.__init__() missing 1 required positional argument: 'title'"}
2025-08-10 18:30:46 | ERROR | utils.core.test_framework_app:execute_excel_tests:349 | 执行Excel测试失败: 'TestSuite' object has no attribute 'load_from_excel'
